# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.10659 22.59141 0.12867
1.06486 0.13282 30.45762 0.12868
1.06554 0.08945 17.44033 0.12870
1.06622 0.17719 43.75864 0.12871
1.06691 0.12307 27.51893 0.12873
1.06761 0.14240 33.31554 0.12874
1.06831 0.14432 33.88606 0.12876
1.06901 0.14616 34.43335 0.12877
1.06972 0.05396 6.76892 0.12879
1.07043 0.14962 35.46311 0.12881
1.07114 0.10753 22.83355 0.12882
1.07186 0.19573 49.28898 0.12884
1.07259 0.04111 2.89634 0.12885
1.07332 0.14301 33.46268 0.12887
1.07405 0.09689 19.62319 0.12888
1.07479 0.07481 12.99299 0.12890
1.07553 0.13168 30.05143 0.12892
1.07627 0.16161 39.02673 0.12893
1.07702 0.16012 38.57318 0.12895
1.07778 0.10697 22.62454 0.12897
1.07853 0.21588 55.29338 0.12898
1.07930 0.16965 41.41832 0.12900
1.08006 0.10726 22.69838 0.12902
1.08084 0.12363 27.60380 0.12903
1.08161 0.15845 38.04443 0.12905
1.08239 0.13177 30.03547 0.12907
1.08318 0.11798 25.89426 0.12908
1.08397 0.12659 28.47231 0.12910
1.08476 0.18959 47.36750 0.12912
1.08556 0.13493 30.96418 0.12913
1.08636 0.20938 53.29687 0.12915
1.08717 0.12213 27.11466 0.12917
1.08798 0.05948 8.31469 0.12919
1.08880 0.13754 31.72792 0.12921
1.08962 0.10905 23.17828 0.12922
1.09044 0.12414 27.69986 0.12924
1.09127 0.12312 27.38986 0.12926
1.09211 0.15789 37.81528 0.12928
1.09294 0.15111 35.77569 0.12930
1.09379 0.10426 21.71406 0.12931
1.09464 0.16811 40.86526 0.12933
1.09549 0.19439 48.74502 0.12935
1.09635 0.17925 44.19712 0.12937
1.09721 0.11954 26.27754 0.12939
1.09808 0.15339 36.42961 0.12941
1.09895 0.09975 20.33049 0.12943
1.09982 0.09162 17.88668 0.12945
1.10071 0.11372 24.51139 0.12946
1.10159 0.04623 4.25984 0.12948
1.10248 0.13436 30.69314 0.12950
1.10338 0.13836 31.88793 0.12952
1.10428 0.16193 38.95246 0.12954
1.10518 0.15671 37.38289 0.12956
1.10609 0.15663 37.35199 0.12958
1.10701 0.14187 32.92001 0.12960
1.10793 0.10427 21.63404 0.12962
1.10885 0.18677 46.37899 0.12964
1.10978 0.19311 48.27548 0.12966
1.11072 0.14383 33.48507 0.12968
1.11166 0.16605 40.14433 0.12970
1.11260 0.16275 39.14874 0.12972
1.11355 0.15660 37.29843 0.12974
1.11451 0.08121 14.67505 0.12977
1.11547 0.17647 43.24927 0.12979
1.11643 0.14885 34.95621 0.12981
1.11740 0.08464 15.68668 0.12983
1.11838 0.12975 29.21602 0.12985
1.11936 0.23212 59.91849 0.12987
1.12034 0.10694 22.36024 0.12989
1.12133 0.14156 32.73903 0.12991
1.12233 0.12997 29.25783 0.12994
1.12333 0.11686 25.31857 0.12996
1.12433 0.10531 21.84685 0.12998
1.12534 0.10247 20.98980 0.13000
1.12636 0.18579 45.97903 0.13002
1.12738 0.10377 21.36783 0.13005
1.12841 0.13076 29.45688 0.13007
1.12944 0.14655 34.18908 0.13009
1.13048 0.17744 43.44868 0.13011
1.13152 0.19528 48.79469 0.13014
1.13257 0.11624 25.07783 0.13016
1.13362 0.09480 18.63902 0.13018
1.13468 0.15551 36.84497 0.13020
1.13575 0.18904 46.89744 0.13023
1.13682 0.21148 53.62449 0.13025
1.13789 0.11609 24.99927 0.13027
1.13897 0.13884 31.81792 0.13030
1.14006 0.13827 31.64191 0.13032
1.14115 0.12849 28.70079 0.13035
1.14225 0.18262 44.93145 0.13037
1.14335 0.10948 22.98312 0.13039
1.14446 0.10276 20.95988 0.13042
1.14558 0.16750 40.37537 0.13044
1.14670 0.11061 23.30173 0.13047
1.14782 0.12702 28.21762 0.13049
1.14896 0.08458 15.48099 0.13052
1.15009 0.16518 39.65468 0.13054
1.15124 0.16899 40.78857 0.13057
1.15239 0.11126 23.46425 0.13059
1.15354 0.09920 19.83821 0.13062
1.15470 0.10673 22.09059 0.13064
1.15587 0.15583 36.81257 0.13067
1.15704 0.11537 24.66831 0.13069
1.15822 0.09774 19.37366 0.13072
1.15940 0.17257 41.81580 0.13074
1.16059 0.08217 14.68697 0.13077
1.16179 0.17142 41.45669 0.13079
1.16299 0.18368 45.12577 0.13082
1.16420 0.09638 18.92741 0.13085
1.16541 0.09009 17.03322 0.13087
1.16663 0.16867 40.59972 0.13090
