# sec(z), Tsys/Tatm, Tr, fit
1.06418 0.13538 31.22771 0.13176
1.06486 0.14561 34.29499 0.13177
1.06554 0.12583 28.35619 0.13178
1.06622 0.12201 27.20496 0.13180
1.06691 0.15101 35.90050 0.13181
1.06761 0.17925 44.36895 0.13183
1.06831 0.09481 19.03227 0.13184
1.06901 0.13892 32.26151 0.13186
1.06972 0.08457 15.95219 0.13187
1.07043 0.13829 32.06312 0.13189
1.07114 0.16421 39.83488 0.13190
1.07186 0.14006 32.58592 0.13192
1.07259 0.16390 39.73560 0.13193
1.07332 0.11221 24.22441 0.13195
1.07405 0.11363 24.64371 0.13196
1.07479 0.09399 18.74921 0.13198
1.07553 0.13220 30.20747 0.13199
1.07627 0.17220 42.20162 0.13201
1.07702 0.12372 27.65409 0.13202
1.07778 0.16420 39.79358 0.13204
1.07853 0.08785 16.88313 0.13205
1.07930 0.10529 22.10982 0.13207
1.08006 0.12577 28.25079 0.13209
1.08084 0.10927 23.29657 0.13210
1.08161 0.12181 27.05401 0.13212
1.08239 0.13162 29.99190 0.13213
1.08318 0.11856 26.06951 0.13215
1.08397 0.07255 12.26111 0.13217
1.08476 0.13080 29.73284 0.13218
1.08556 0.16033 38.58672 0.13220
1.08636 0.17122 41.84846 0.13222
1.08717 0.11863 26.06545 0.13223
1.08798 0.08698 16.56475 0.13225
1.08880 0.15467 36.86932 0.13227
1.08962 0.10370 21.57152 0.13228
1.09044 0.12484 27.90979 0.13230
1.09127 0.10172 20.96695 0.13232
1.09211 0.13536 31.05610 0.13233
1.09294 0.16510 39.97336 0.13235
1.09379 0.07492 12.91436 0.13237
1.09464 0.07776 13.75890 0.13239
1.09549 0.16911 41.15872 0.13240
1.09635 0.14338 33.43561 0.13242
1.09721 0.10609 22.24307 0.13244
1.09808 0.13571 31.12324 0.13246
1.09895 0.12433 27.70412 0.13248
1.09982 0.16816 40.84858 0.13249
1.10071 0.11979 26.33336 0.13251
1.10159 0.14476 33.81850 0.13253
1.10248 0.13559 31.06088 0.13255
1.10338 0.17373 42.49969 0.13257
1.10428 0.13413 30.61380 0.13259
1.10518 0.12951 29.22111 0.13260
1.10609 0.15208 35.98726 0.13262
1.10701 0.15302 36.26450 0.13264
1.10793 0.17311 42.28520 0.13266
1.10885 0.16164 38.83904 0.13268
1.10978 0.11404 24.55281 0.13270
1.11072 0.16866 40.93388 0.13272
1.11166 0.06345 9.36619 0.13274
1.11260 0.14363 33.41318 0.13276
1.11355 0.12097 26.60899 0.13278
1.11451 0.15663 37.30076 0.13280
1.11547 0.10152 20.76335 0.13282
1.11643 0.15972 38.21748 0.13284
1.11740 0.09010 17.32702 0.13286
1.11838 0.13184 29.84287 0.13288
