# sec(z), Tsys/Tatm, Tr
1.06418 0.13538 31.22771
1.06486 0.14561 34.29499
1.06554 0.12583 28.35619
1.06622 0.12201 27.20496
1.06691 0.15101 35.90050
1.06761 0.17925 44.36895
1.06831 0.09481 19.03227
1.06901 0.13892 32.26151
1.06972 0.08457 15.95219
1.07043 0.13829 32.06312
1.07114 0.16421 39.83488
1.07186 0.14006 32.58592
1.07259 0.16390 39.73560
1.07332 0.11221 24.22441
1.07405 0.11363 24.64371
1.07479 0.09399 18.74921
1.07553 0.13220 30.20747
1.07627 0.17220 42.20162
1.07702 0.12372 27.65409
1.07778 0.16420 39.79358
1.07853 0.08785 16.88313
1.07930 0.10529 22.10982
1.08006 0.12577 28.25079
1.08084 0.10927 23.29657
1.08161 0.12181 27.05401
1.08239 0.13162 29.99190
1.08318 0.11856 26.06951
1.08397 0.07255 12.26111
1.08476 0.13080 29.73284
1.08556 0.16033 38.58672
1.08636 0.17122 41.84846
1.08717 0.11863 26.06545
1.08798 0.08698 16.56475
1.08880 0.15467 36.86932
1.08962 0.10370 21.57152
1.09044 0.12484 27.90979
1.09127 0.10172 20.96695
1.09211 0.13536 31.05610
1.09294 0.16510 39.97336
1.09379 0.07492 12.91436
1.09464 0.07776 13.75890
1.09549 0.16911 41.15872
1.09635 0.14338 33.43561
1.09721 0.10609 22.24307
1.09808 0.13571 31.12324
1.09895 0.12433 27.70412
1.09982 0.16816 40.84858
1.10071 0.11979 26.33336
1.10159 0.14476 33.81850
1.10248 0.13559 31.06088
1.10338 0.17373 42.49969
1.10428 0.13413 30.61380
1.10518 0.12951 29.22111
1.10609 0.15208 35.98726
1.10701 0.15302 36.26450
1.10793 0.17311 42.28520
1.10885 0.16164 38.83904
1.10978 0.11404 24.55281
1.11072 0.16866 40.93388
1.11166 0.06345 9.36619
1.11260 0.14363 33.41318
1.11355 0.12097 26.60899
1.11451 0.15663 37.30076
1.11547 0.10152 20.76335
1.11643 0.15972 38.21748
1.11740 0.09010 17.32702
1.11838 0.13184 29.84287
1.11936 0.12072 26.49876
1.12034 0.13139 29.69396
1.12133 0.12660 28.25333
1.12233 0.11038 23.37859
1.12333 0.20515 51.80528
1.12433 0.13924 32.02655
1.12534 0.18015 44.29310
1.12636 0.13206 29.86083
1.12738 0.13821 31.69980
1.12841 0.11591 25.00314
1.12944 0.18220 44.88336
1.13048 0.16429 39.50479
1.13152 0.12854 28.77238
1.13257 0.14086 32.46260
1.13362 0.20172 50.71484
1.13468 0.14141 32.61388
1.13575 0.08223 14.85412
1.13682 0.14925 34.95480
1.13789 0.13448 30.51522
1.13897 0.17354 42.22959
1.14006 0.17079 41.39724
1.14115 0.15574 36.87404
1.14225 0.12636 28.05547
1.14335 0.11799 25.53665
1.14446 0.11969 26.03927
1.14558 0.20919 52.88415
1.14670 0.10805 22.53521
1.14782 0.14431 33.40653
1.14896 0.11126 23.48367
1.15009 0.09802 19.50602
1.15124 0.11947 25.93415
1.15239 0.11928 25.86843
1.15354 0.08542 15.70526
1.15470 0.06726 10.24848
1.15587 0.13867 31.66567
1.15704 0.18379 45.19538
1.15822 0.11322 24.01681
1.15940 0.12745 28.27717
1.16059 0.07407 12.25663
1.16179 0.09464 18.42049
1.16299 0.11137 23.43190
1.16420 0.09670 19.02592
1.16541 0.13820 31.46766
1.16663 0.09683 19.04859
1.16786 0.13761 31.27507
1.16909 0.13609 30.81304
1.17033 0.18937 46.78860
1.17158 0.18759 46.24899
1.17283 0.13137 29.37475
1.17409 0.10089 20.22171
1.17535 0.12729 28.13441
1.17662 0.07153 11.39937
1.17790 0.15057 35.10448
1.17918 0.15944 37.75632
1.18047 0.12753 28.17740
1.18176 0.12621 27.77329
1.18307 0.20153 50.35994
1.18437 0.13523 30.46205
1.18569 0.15637 36.79772
1.18701 0.11365 23.97177
1.18834 0.08087 14.13089
1.18967 0.13295 29.74614
1.19102 0.15970 37.76267
1.19236 0.17833 43.34463
1.19372 0.12605 27.65270
1.19508 0.07441 12.15135
1.19645 0.15969 37.72947
1.19782 0.15190 35.38238
1.19920 0.14662 33.78947
1.20059 0.19261 47.58040
1.20199 0.10612 21.62304
1.20339 0.13167 29.28053
1.20480 0.12397 26.96094
1.20622 0.10131 20.15556
1.20764 0.08313 14.69387
1.20907 0.07694 12.82777
1.21051 0.11844 25.26797
1.21195 0.11677 24.75936
1.21341 0.15617 36.57038
1.21487 0.11462 24.09733
1.21633 0.10599 21.49901
1.21781 0.18693 45.77305
1.21929 0.17376 41.81281
1.22077 0.17478 42.11013
1.22227 0.09617 18.51849
1.22377 0.08846 16.19558
1.22528 0.14166 32.14527
1.22680 0.11481 24.08351
1.22833 0.13426 29.90886
1.22986 0.06378 8.75513
1.23140 0.14406 32.83042
1.23295 0.12939 28.41840
1.23450 0.13632 30.48889
1.23607 0.12841 28.10730
1.23764 0.14071 31.78803
1.23922 0.14387 32.72645
1.24081 0.16741 39.77730
1.24240 0.11075 22.77017
1.24400 0.07153 10.99358
1.24561 0.14909 34.25462
1.24723 0.14331 32.50880
1.24886 0.16188 38.07109
1.25049 0.12939 28.31425
1.25214 0.11279 23.32479
1.25379 0.11539 24.09415
1.25545 0.14218 32.12216
1.25711 0.18007 43.47829
1.25879 0.06541 9.07125
1.26047 0.15067 34.63841
1.26216 0.07160 10.90704
1.26387 0.13854 30.97780
1.26557 0.17221 41.06962
1.26729 0.19566 48.09482
1.26902 0.11226 23.06412
1.27075 0.19709 48.50371
1.27250 0.10160 19.84439
1.27425 0.10169 19.86142
1.27601 0.16973 40.26258
1.27778 0.11633 24.23084
1.27956 0.15511 35.85713
1.28134 0.13934 31.11542
1.28314 0.11575 24.02515
1.28495 0.11131 22.68424
1.28676 0.13432 29.57502
1.28858 0.13585 30.02202
1.29042 0.13068 28.46241
1.29226 0.18257 44.01866
1.29411 0.06869 9.84141
1.29597 0.08743 15.45398
1.29784 0.13527 29.79322
1.29971 0.13518 29.75456
1.30160 0.08557 14.86204
1.30350 0.14054 31.33985
1.30541 0.12577 26.89930
1.30732 0.11996 25.14408
1.30925 0.17068 40.34867
1.31119 0.14564 32.82524
1.31313 0.16098 37.41533
1.31509 0.08037 13.22081
1.31705 0.15702 36.20490
1.31903 0.12928 27.87113
1.32101 0.16322 38.04139
1.32301 0.13485 29.51746
1.32501 0.17130 40.44022
1.32703 0.13673 30.05580
1.32905 0.15345 35.06203
1.33109 0.06972 9.92882
1.33314 0.19660 47.98159
1.33519 0.14310 31.91951
